Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
GX021-TO,0.001,-0.013,0.204,0.197,-0.683,0.223,-0.085,-0.458,-0.139,-0.139,-0.116,-0.116,-0.093,-0.417,-1.048,-0.133,-1.426,-0.162,-0.717,-0.098,-0.67,-0.236,0.271,0.376,NA,0.464,NA,0.05,NA,-0.096,-0.12,-0.038,-0.073,-0.073,-0.12,-0.551,-0.076,-0.126,-0.079,-0.079,0.266,-0.338,NA,-0.357,0.087,-0.538
GX022-LNO_P39,-0.408,0.07,0.168,0.107,-0.493,0.107,-0.746,-0.307,0.12,-0.179,-0.069,0.176,0.427,0.156,0.203,0.203,-0.672,-0.214,-0.225,-0.239,-0.059,0.106,0.19,0.19,NA,0.07,NA,0.108,NA,0.133,-0.181,0.373,-0.723,-0.227,-0.108,-0.694,-0.473,-0.004,0.183,0.183,-0.228,-0.228,NA,-0.189,0.301,0.197
GX022-LNO,-0.432,0.123,0.13,0.13,-0.454,-0.144,-0.818,-0.431,0.081,0.081,-0.109,0.129,0.417,0.131,0.13,0.13,-0.806,-0.439,-0.283,-0.318,0.135,0.135,0.146,0.146,NA,0.083,NA,0.14,NA,0.125,0.152,0.152,-0.76,-0.239,-0.102,-0.761,-0.545,0.122,0.148,0.148,-0.248,-0.248,NA,-0.104,0.397,0.397
GX022-TF,-0.077,-0.082,0.112,0.049,-0.093,0.064,-0.201,-0.201,0.141,-0.093,-0.023,-0.023,0.08,0.048,0.102,0.081,-0.176,-0.049,0.071,0.092,-0.032,-0.05,0.037,0.149,NA,0.063,NA,0.161,NA,0.072,0.073,0.031,-0.141,0.019,0.378,-0.221,-0.169,-0.056,0.128,0.128,-0.057,-0.077,NA,-0.035,-0.026,-0.043
GX022-TO,-0.427,-0.123,0.134,0.134,-0.429,-0.129,-0.812,-0.423,0.045,0.045,-0.107,0.136,0.444,0.142,0.124,0.124,-0.819,-0.334,-0.285,-0.331,0.155,0.155,0.155,0.155,NA,0.131,NA,0.131,NA,0.111,0.179,0.179,-0.759,-0.224,-0.557,-0.725,-0.536,0.135,0.156,0.156,-0.274,-0.274,NA,-0.086,0.404,0.461
GX023-TdysF,-0.19,-0.163,-0.099,0.038,-0.405,-0.162,-0.201,-0.201,-0.2,-0.2,0.231,0.14,0.364,0.36,0.198,0.236,-0.455,0.227,-0.184,-0.184,-0.171,-0.18,-0.193,-0.193,NA,0.751,NA,0.349,NA,-0.188,-0.172,0.07,-0.214,0.233,-0.238,-0.238,-0.32,-0.146,0.308,0.732,0.34,-0.204,NA,-0.237,-0.432,-0.432
GX023-TdysO,-0.244,-0.18,-0.02,0.217,-0.277,-0.275,-0.28,-0.28,-0.257,-0.257,0.101,-0.252,0.528,0.435,0.247,0.247,-0.672,0.264,-0.266,-0.266,-0.278,-0.296,-0.336,-0.269,NA,0.568,NA,0.466,NA,-0.198,-0.249,-0.137,-0.194,0.29,-0.319,-0.319,-0.247,0.185,0.378,0.735,0.143,-0.258,NA,-0.247,-0.508,-0.508
GX023-TF,0.022,0.427,0.028,0.028,0.033,0.033,-0.462,-0.093,0.909,0.033,0.012,0.012,0.024,0.024,0.024,0.024,-0.493,0.18,0.01,0.01,-0.666,0.027,-0.264,0.004,NA,0.478,NA,-0.634,NA,0.021,0.031,0.031,-0.657,0.02,0.014,0.014,-0.672,-0.669,0.017,0.518,-0.394,-0.551,NA,-0.064,-0.173,-0.173
GX023-TO,0.046,0.52,0.039,0.039,0.028,0.028,-0.575,-0.121,1.074,0.025,0.025,0.025,0.033,0.033,0.026,0.026,-0.714,0.231,0.027,0.027,-0.911,0.045,-0.343,0.016,NA,0.597,NA,-0.859,NA,0.027,0.051,0.051,-0.875,0.027,0.021,0.021,-0.911,-0.911,0.039,0.63,0.342,-0.792,NA,-0.092,-0.183,-0.183
GX024-TF,-0.209,-0.052,0.175,0.186,-0.208,0.177,-0.234,-0.185,0.154,0.154,-0.234,-0.167,0.458,0.078,-0.199,-0.199,-0.132,0.139,-0.22,-0.204,-0.21,-0.21,0.177,0.104,NA,0.173,NA,-0.192,NA,0.131,-0.244,-0.244,-0.177,0.083,-0.144,-0.209,-0.081,0.113,0.119,0.119,-0.042,-0.049,NA,-0.283,-0.042,-0.042
GX024-TO_P20,-0.62,0.312,0.354,0.354,-0.583,0.361,-0.608,-0.63,0.365,0.365,-0.617,-0.608,0.935,0.027,-0.609,-0.609,-0.682,-0.286,-0.637,-0.612,-0.666,-0.606,0.354,0.128,NA,0.369,NA,-0.609,NA,0.346,-0.612,-0.612,-0.488,0.287,-0.536,-0.645,-0.11,0.38,0.349,0.349,0.349,0.349,NA,-0.613,0.162,0.162
GX024-TO,-0.619,0.324,0.353,0.353,-0.588,0.357,-0.622,-0.627,0.363,0.363,-0.621,-0.602,0.928,0.011,-0.618,-0.618,-0.591,-0.291,-0.617,-0.619,-0.688,-0.605,0.347,0.141,NA,0.365,NA,-0.594,NA,0.346,-0.608,-0.608,-0.489,0.286,-0.521,-0.626,-0.122,0.379,0.345,0.345,0.338,0.338,NA,-0.615,0.175,0.175
GX025-TF,0.014,0.023,0.011,0.009,-0.009,0.092,-0.043,-0.042,0.014,-0.01,-0.01,-0.01,0.047,0.044,-0.017,0.075,0.183,-0.047,-0.005,0.012,0.001,0.052,0.038,0.06,NA,-0.026,NA,0.086,NA,0.016,0.068,-0.01,-0.005,-0.026,0.014,0.014,-0.159,-0.118,-0.064,0.16,-0.014,-0.031,NA,-0.05,-0.283,-0.276
GX025-TO,0.077,0.082,-0.524,-0.464,-0.013,0.588,-0.504,-0.482,0.31,-0.215,0.015,-0.504,0.411,0.143,-0.433,0.223,0.171,-0.5,-0.425,-0.095,-0.135,0.347,0.392,0.077,NA,-0.863,NA,0.182,NA,-0.13,0.354,-0.387,-0.397,-0.452,0.121,-0.439,0.025,0.265,-0.76,0.71,-0.559,-0.559,NA,-0.254,-0.663,-0.245
GX026-TF,-0.046,0.045,-0.039,-0.041,0.019,0.019,-0.258,-0.089,0.034,0.034,-0.031,-0.173,0.24,0.176,0.12,0.12,0.051,0.051,-0.104,-0.098,0.067,0.067,-0.075,-0.105,NA,0.012,NA,-0.042,NA,0.07,0.203,-0.317,-0.248,-0.021,0.293,-0.279,-0.31,-0.059,0.052,0.052,-0.022,-0.022,NA,-0.047,-0.267,-0.267
GX026-TO_P21,-0.157,0.23,-0.152,-0.152,-0.159,-0.143,-0.704,-0.329,0.226,0.228,-0.243,-0.726,0.248,0.248,0.529,0.529,0.11,0.11,-0.164,-0.161,-0.166,-0.166,0.232,0.232,NA,0.196,NA,0.243,NA,-0.082,0.198,-0.728,-0.641,-0.156,0.235,-0.696,-0.173,0.184,0.218,0.218,-0.228,-0.228,NA,-0.208,0.078,0.078
